
Too Fast messages are printed when the interpolated speeds exceed
the following:
     Trains/Subway - 41 mph
     Express Buses - 41 mph
     Ferries       - 15 mph
     All others    - 30 mph

Route ID, Stop Group, TimePoints (sequence), time, distance, speed
  23494: B     96-E-W-2    81- 89   hrs=0.0833 mi= 2.796 mph=33.5
  23495: B     96-E-W-3    45- 53   hrs=0.0833 mi= 2.796 mph=33.5
   1122: B    A11-S-S-1    67- 83   hrs=0.0667 mi= 2.710 mph=40.7
   3169: B    A12-N-S-1    36- 44   hrs=0.0833 mi= 2.671 mph=32.1
   3170: B    A12-N-S-2    36- 44   hrs=0.0833 mi= 2.671 mph=32.1
   3177: B    A12-S-U-1     8- 21   hrs=0.0667 mi= 2.999 mph=45.0
   3168: B    A12-N-W-1    23- 31   hrs=0.0333 mi= 1.082 mph=32.5
   6201: B     A4-S-S-2    44- 48   hrs=0.0333 mi= 1.100 mph=33.0
   6194: B     A4-N-U-2     1-  6   hrs=0.0333 mi= 1.128 mph=33.8
   6203: B     A4-S-U-2    44- 48   hrs=0.0333 mi= 1.100 mph=33.0
   6199: B     A4-S-W-3    43- 47   hrs=0.0333 mi= 1.100 mph=33.0
   1126: B    A46-N-S-2     1-  9   hrs=0.0500 mi= 1.597 mph=31.9
  15866: B    A48-N-S-2     1- 10   hrs=0.0500 mi= 1.597 mph=31.9
   1141: B     A9-N-W-1    20- 25   hrs=0.1000 mi= 3.211 mph=32.1
   3224: B     B2-S-W-5     1- 23   hrs=0.1167 mi= 4.780 mph=41.0
  32104: B    B21-E-W-1     1-  4   hrs=0.2000 mi= 7.763 mph=38.8
  32106: B    B21-W-W-1    19- 23   hrs=0.2000 mi= 9.509 mph=47.5
   3236: B    B22-E-W-1     1-  4   hrs=0.2333 mi= 7.763 mph=33.3
   3238: B    B22-W-W-1    25- 29   hrs=0.0500 mi= 1.540 mph=30.8
   3239: B    B22-W-W-2    32- 36   hrs=0.0500 mi= 1.540 mph=30.8
   1143: B    B24-E-W-1    31- 45   hrs=0.1167 mi= 3.716 mph=31.8
   1144: B    B24-W-W-1     1- 12   hrs=0.1167 mi= 3.548 mph=30.4
   1145: B    B25-E-W-1    31- 45   hrs=0.1167 mi= 3.716 mph=31.9
   1147: B    B27-W-W-1     5- 22   hrs=0.1333 mi= 4.311 mph=32.3
  32108: B    B29-E-W-1     1-  8   hrs=0.2500 mi=10.184 mph=40.7
  32109: B    B29-E-W-2     1-  4   hrs=0.2500 mi= 8.410 mph=33.6
  32110: B    B29-W-W-1     3- 12   hrs=0.2500 mi=10.544 mph=42.2
  32111: B    B29-W-W-2     9- 13   hrs=0.2333 mi= 8.934 mph=38.3
   1155: X    B30-N-S-1     1-  5   hrs=0.5000 mi=19.938 mph=39.9
   1158: X    B30-S-S-1     1-  5   hrs=0.0833 mi= 2.562 mph=30.7
   1156: X    B30-N-U-1     1-  5   hrs=0.5000 mi=19.938 mph=39.9
   1159: X    B30-S-U-1     1-  5   hrs=0.0833 mi= 2.562 mph=30.7
   1154: X    B30-N-W-1     1-  5   hrs=0.5000 mi=19.938 mph=39.9
   1157: X    B30-S-W-1     5-  7   hrs=0.5333 mi=19.922 mph=37.4
   1160: B    B31-E-W-1     1-  4   hrs=0.2500 mi= 8.411 mph=33.6
   3019: B    C12-E-W-1    32- 38   hrs=0.0500 mi= 1.677 mph=33.5
   3020: B    C12-W-W-1     1- 11   hrs=0.1333 mi= 5.722 mph=42.9
   1166: B    C13-N-W-1     9- 13   hrs=0.0833 mi= 2.890 mph=34.7
   3023: B    C14-E-S-1    14- 17   hrs=0.0333 mi= 1.351 mph=40.5
   3024: B    C14-W-S-1     1- 11   hrs=0.1000 mi= 5.723 mph=57.2
   3025: B    C14-E-W-1    14- 17   hrs=0.0333 mi= 1.351 mph=40.5
   3026: B    C14-W-W-1     1- 11   hrs=0.1333 mi= 5.723 mph=42.9
  32113: B     C2-E-S-1     1- 12   hrs=0.0667 mi= 3.421 mph=51.3
  32114: B     C2-E-S-2    57- 64   hrs=0.0333 mi= 1.483 mph=44.5
  32120: B     C2-W-S-1     1-  7   hrs=0.0833 mi= 2.812 mph=33.8
  32121: B     C2-W-S-2    14- 18   hrs=0.0500 mi= 1.823 mph=36.5
  32112: B     C2-E-W-1    51- 57   hrs=0.0500 mi= 2.159 mph=43.2
  32117: B     C2-W-W-1    14- 18   hrs=0.0500 mi= 1.823 mph=36.5
  23530: B    C21-E-W-2    43- 54   hrs=0.1000 mi= 3.370 mph=33.7
  23531: B    C21-E-W-3     1- 13   hrs=0.0833 mi= 2.764 mph=33.2
